Date,State/UnionTerritory,Confirmed
16/05/20,Andaman and Nicobar Islands,33
16/05/20,Andhra Pradesh,2307
16/05/20,Arunachal Pradesh,1
16/05/20,Assam,90
16/05/20,Bihar,1018
16/05/20,Chandigarh,191
16/05/20,Chhattisgarh,66
16/05/20,Dadar Nagar Haveli,1
16/05/20,Delhi,8895
16/05/20,Goa,15
16/05/20,Gujarat,9931
16/05/20,Haryana,818
16/05/20,Himachal Pradesh,76
16/05/20,Jammu and Kashmir,1013
16/05/20,Jharkhand,203
16/05/20,Karnataka,1056
16/05/20,Kerala,576
16/05/20,Ladakh,43
16/05/20,Madhya Pradesh,4595
16/05/20,Maharashtra,29100
16/05/20,Manipur,3
16/05/20,Meghalaya,13
16/05/20,Mizoram,1
16/05/20,Odisha,672
16/05/20,Puducherry,13
16/05/20,Punjab,1935
16/05/20,Rajasthan,4727
16/05/20,Tamil Nadu,10108
16/05/20,Telengana,1454
16/05/20,Tripura,156
16/05/20,Uttarakhand,82
16/05/20,Uttar Pradesh,4057
16/05/20,West Bengal,2461
17/05/20,Andaman and Nicobar Islands,33
17/05/20,Andhra Pradesh,2355
17/05/20,Arunachal Pradesh,1
17/05/20,Assam,92
17/05/20,Bihar,1179
17/05/20,Chandigarh,191
17/05/20,Chhattisgarh,67
17/05/20,Dadar Nagar Haveli,1
17/05/20,Delhi,9333
17/05/20,Goa,17
17/05/20,Gujarat,10988
17/05/20,Haryana,887
17/05/20,Himachal Pradesh,78
17/05/20,Jammu and Kashmir,1121
17/05/20,Jharkhand,217
17/05/20,Karnataka,1092
17/05/20,Kerala,587
17/05/20,Ladakh,43
17/05/20,Madhya Pradesh,4789
17/05/20,Maharashtra,30706
17/05/20,Manipur,7
17/05/20,Meghalaya,13
17/05/20,Mizoram,1
17/05/20,Odisha,737
17/05/20,Puducherry,13
17/05/20,Punjab,1946
17/05/20,Rajasthan,4960
17/05/20,Tamil Nadu,10585
17/05/20,Telengana,1509
17/05/20,Tripura,167
17/05/20,Uttarakhand,88
17/05/20,Uttar Pradesh,4258
17/05/20,West Bengal,2576
18/05/20,Andaman and Nicobar Islands,33
18/05/20,Andhra Pradesh,2407
18/05/20,Arunachal Pradesh,1
18/05/20,Assam,101
18/05/20,Bihar,1262
18/05/20,Chandigarh,191
18/05/20,Chhattisgarh,86
18/05/20,Dadar Nagar Haveli,1
18/05/20,Delhi,10054
18/05/20,Goa,29
18/05/20,Gujarat,11379
18/05/20,Haryana,910
18/05/20,Himachal Pradesh,80
18/05/20,Jammu and Kashmir,1183
18/05/20,Jharkhand,223
18/05/20,Karnataka,1147
18/05/20,Kerala,601
18/05/20,Ladakh,43
18/05/20,Madhya Pradesh,4977
18/05/20,Maharashtra,33053
18/05/20,Manipur,7
18/05/20,Meghalaya,13
18/05/20,Mizoram,1
18/05/20,Odisha,828
18/05/20,Puducherry,13
18/05/20,Punjab,1964
18/05/20,Rajasthan,5202
18/05/20,Tamil Nadu,11224
18/05/20,Telengana,1551
18/05/20,Tripura,167
18/05/20,Uttarakhand,92
18/05/20,Uttar Pradesh,4259
18/05/20,West Bengal,2677
19/05/20,Andaman and Nicobar Islands,33
19/05/20,Andhra Pradesh,2474
19/05/20,Arunachal Pradesh,1
19/05/20,Assam,107
19/05/20,Bihar,1391
19/05/20,Chandigarh,196
19/05/20,Chhattisgarh,93
19/05/20,Dadar Nagar Haveli,1
19/05/20,Delhi,10054
19/05/20,Goa,38
19/05/20,Gujarat,11745
19/05/20,Haryana,928
19/05/20,Himachal Pradesh,90
19/05/20,Jammu and Kashmir,1289
19/05/20,Jharkhand,223
19/05/20,Karnataka,1246
19/05/20,Kerala,630
19/05/20,Ladakh,43
19/05/20,Madhya Pradesh,5236
19/05/20,Maharashtra,35058
19/05/20,Manipur,7
19/05/20,Meghalaya,13
19/05/20,Mizoram,1
19/05/20,Odisha,876
19/05/20,Puducherry,18
19/05/20,Punjab,1980
19/05/20,Rajasthan,5507
19/05/20,Tamil Nadu,11760
19/05/20,Telengana,1597
19/05/20,Tripura,167
19/05/20,Uttarakhand,93
19/05/20,Uttar Pradesh,4605
19/05/20,West Bengal,2825
20/05/20,Andaman and Nicobar Islands,33
20/05/20,Andhra Pradesh,2532
20/05/20,Arunachal Pradesh,1
20/05/20,Assam,142
20/05/20,Bihar,1498
20/05/20,Chandigarh,200
20/05/20,Chhattisgarh,101
20/05/20,Dadar Nagar Haveli,1
20/05/20,Delhi,10554
20/05/20,Goa,46
20/05/20,Gujarat,12140
20/05/20,Haryana,964
20/05/20,Himachal Pradesh,92
20/05/20,Jammu and Kashmir,1317
20/05/20,Jharkhand,231
20/05/20,Karnataka,1397
20/05/20,Kerala,642
20/05/20,Ladakh,43
20/05/20,Madhya Pradesh,5465
20/05/20,Maharashtra,37136
20/05/20,Manipur,9
20/05/20,Meghalaya,13
20/05/20,Mizoram,1
20/05/20,Odisha,978
20/05/20,Puducherry,18
20/05/20,Punjab,2002
20/05/20,Rajasthan,5845
20/05/20,Tamil Nadu,12448
20/05/20,Telengana,1634
20/05/20,Tripura,173
20/05/20,Uttarakhand,111
20/05/20,Uttar Pradesh,4926
20/05/20,West Bengal,2961
20/05/20,Cases being reassigned to states,1096
21/05/20,Andaman and Nicobar Islands,33
21/05/20,Andhra Pradesh,2602
21/05/20,Arunachal Pradesh,1
21/05/20,Assam,170
21/05/20,Bihar,1674
21/05/20,Chandigarh,202
